0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,date
-0.80066025,0.6028787,0.19520797,-0.6109973,-0.50403637,-0.15071581,0.00060542667,-0.37721756,0.17505491,-0.34975705,0.036569197,0.23127307,-0.4001489,-0.76742864,0.057803895,0.29796275,2017-01-01
-0.86791426,0.11556608,0.648014,-0.5711425,-0.7925539,-0.19037287,0.01347547,-0.18727422,0.20453626,-0.12453736,-0.54972506,-0.29314744,-0.19349149,0.06092136,-0.10808449,-0.23129292,2017-01-02
-0.65651476,-0.5483452,0.38323486,-0.086099446,-0.53607035,-0.14557935,-0.21991888,0.53038317,-0.037482306,-0.23604295,-0.04382508,-0.67232066,-0.23748352,0.07293906,-0.59801173,-0.061370365,2017-01-03
-0.7229656,-0.51590425,0.300375,-0.13051276,-0.4214657,-0.062045813,-0.2721389,0.56426644,-0.04563618,-0.31674913,0.15720789,-0.6640441,-0.18927914,-0.15220994,-0.6578592,0.20082206,2017-01-04
-0.69172317,-0.5509649,0.32768393,-0.1684389,-0.4647677,-0.112718396,-0.32617941,0.5616572,-0.111093484,-0.22929068,0.081738785,-0.6525249,-0.16956633,-0.126583,-0.6376455,0.17317861,2017-01-05
-0.4529035,-0.7098046,0.37622455,-0.22184473,-0.5393792,-0.42419684,-0.37638783,0.271944,-0.08291896,0.25403905,-0.0856024,-0.31039536,-0.018681472,-0.16494186,-0.49205545,0.29872856,2017-01-06
-0.6281957,-0.061375864,0.04058015,-0.6882747,0.106011204,0.4253344,-0.2100769,0.007022663,0.14218388,0.5980194,-0.055858985,-0.2883743,0.04598935,-0.5449623,-0.6658291,0.46491197,2017-01-07
-0.7129134,0.21994361,0.27832896,-0.56964374,-0.30310312,0.36424127,0.07109638,-0.013174786,-0.33889395,-0.0562207,-0.09784462,-0.6855072,-0.08816799,-0.3314561,-0.6258064,0.415942,2017-01-08
-0.5908896,-0.5589569,0.4679463,-0.03142523,-0.5980717,-0.19393761,-0.2129769,0.5152842,-0.2759977,-0.3068454,-0.063713245,-0.709081,-0.24656335,0.134537,-0.55354965,-0.04985494,2017-01-09
-0.6366479,-0.58248687,0.4482365,-0.14794047,-0.5703268,-0.1615388,-0.33132982,0.5258618,-0.26403993,-0.25513732,0.040103454,-0.67224985,-0.21736395,0.0001904834,-0.60371417,0.10659765,2017-01-10
-0.6031186,-0.58525366,0.39819387,-0.16825868,-0.5259433,-0.15556632,-0.29205993,0.4741647,-0.29136854,-0.19237623,0.07717662,-0.6796917,-0.18672158,-0.091977514,-0.64720243,0.24423882,2017-01-11
-0.55024475,-0.6089383,0.30243737,-0.162436,-0.46512234,-0.16096576,-0.21087825,0.42762133,-0.121041566,-0.0006459764,-0.020659275,-0.6655742,-0.13145165,-0.04880941,-0.67304647,0.20077321,2017-01-12
0.034344815,-0.7432558,0.4287287,-0.23931547,-0.3433324,-0.076503985,-0.37327763,0.23041947,-0.20356628,0.56320375,-0.0061434964,-0.341124,-0.25819576,0.0035175937,-0.6062955,0.044292394,2017-01-13
-0.16762604,-0.25383866,0.63474417,-0.592188,0.15003501,0.64123285,-0.037187617,-0.22360228,-0.50316346,0.7983203,-0.29507205,-0.3264395,-0.05394617,-0.16873449,-0.5261168,0.23077436,2017-01-14
-0.4496631,0.05723341,0.4876094,-0.6157541,-0.07410518,0.58225787,0.081202105,-0.20267496,-0.4538546,0.5144353,-0.23755045,-0.5717169,-0.07260217,-0.18109688,-0.6013086,0.3062707,2017-01-15
-0.51959854,-0.61655164,0.776287,0.14161468,-0.5581397,-0.077767365,0.12571734,0.09838621,-0.32569197,-0.15648791,-0.08010048,-0.51893944,-0.27087578,0.2735854,-0.37205178,-0.008426409,2017-01-16
-0.68412936,-0.67047143,0.7458147,0.04694954,-0.3647023,0.013980184,-0.0025729444,0.10207115,-0.3208497,-0.15586673,0.18392606,-0.4225141,0.06954912,0.014043845,-0.4820814,0.54751986,2017-01-17
-0.59701645,-0.67833465,0.77711797,0.066535324,-0.44905934,-0.015779434,-0.06294794,0.1545072,-0.3461381,-0.113210194,0.10308131,-0.39812163,-0.11200682,0.11760139,-0.40653434,0.29368842,2017-01-18
-0.42940995,-0.72995067,0.80659324,0.08982142,-0.39764968,0.008141851,-0.073195845,-0.03333155,-0.2733035,0.008678691,0.30607185,-0.13794833,-0.26981974,0.04563612,-0.39675355,0.32216406,2017-01-19
-0.0030278843,-0.6049142,0.83757305,0.03358354,-0.4535322,-0.09406393,-0.029646391,-0.17765994,-0.7336271,0.20766209,0.046602923,-0.14353134,-0.43881172,-0.21499927,-0.12366478,0.21645221,2017-01-20
-0.21781792,0.19692948,0.72624767,-0.3575022,-0.146477,0.43965614,0.13031626,-0.25636294,-0.7169074,0.18279253,0.031230712,-0.23267744,-0.6300794,-0.59416795,-0.1560275,0.0738746,2017-01-21
-0.14695644,0.36756355,-0.01190741,-0.5541337,0.024691893,0.14203243,0.15993215,-0.39848775,-0.7731735,0.2665812,-0.02771245,-0.47742912,0.09756202,-0.7750784,-0.42400548,0.79966074,2017-01-22
-0.2787789,-0.49160364,0.81936157,0.36798877,0.0693345,0.30251944,0.30215696,0.0790225,-0.7029241,-0.034413513,0.0991294,-0.37755868,-0.23950072,-0.18549834,-0.15605438,0.2774092,2017-01-23
-0.31130505,-0.5134142,0.8097032,0.35418925,0.21519114,0.3776354,0.32527915,0.0054412642,-0.65781343,0.024320276,0.22367461,-0.2987654,-0.16615193,-0.27295256,-0.22798035,0.45044297,2017-01-24
-0.33962244,-0.677726,0.8839459,0.26234868,0.33729172,0.5376182,0.13809882,0.061795432,-0.6196252,0.4650171,-0.048443355,-0.08948108,0.19738442,0.11435314,-0.09397706,0.34373516,2017-01-25
-0.3744851,-0.67911536,0.90905863,0.13707562,0.15740211,0.4343624,0.29377228,-0.21859056,-0.6022646,0.72585255,-0.62397623,-0.07026972,0.6156004,0.5223659,0.14559193,0.27778518,2017-01-26
-0.4719627,0.43388695,-0.11691949,-0.14053145,-0.118448354,0.48202652,0.2548294,0.34606606,-0.14011468,-0.30575818,-0.5557894,-0.8011058,0.46774045,0.69967467,-0.2957056,-0.325605,2017-01-27
-0.95266634,0.3659822,0.6287964,0.015690379,0.07368125,0.6104008,0.5467739,-0.30804947,0.8015256,-0.6713099,0.25884214,0.18731478,0.2718721,0.26991525,-0.048490234,0.26150066,2017-01-28
-0.94944113,0.3571293,0.65977407,-0.36818492,-0.59414345,0.04443793,0.2322003,-0.32748386,0.55385274,-0.57290137,-0.24818271,0.13479719,0.23935318,0.10101041,0.19177008,0.1761569,2017-01-29
-0.8294905,0.37698945,0.73645073,-0.34603724,-0.632905,0.24829343,0.7285878,-0.8168168,0.6706166,-0.2523101,-0.2120368,0.019163275,-0.26703644,0.34062767,-0.17241389,-0.012673008,2017-01-30
-0.9156442,0.19703011,0.7069126,-0.3305199,-0.6388027,0.052980978,0.51539475,-0.62455815,0.7407463,-0.36837155,-0.16868822,0.15012868,-0.12507744,0.17174824,-0.08973719,0.049889464,2017-01-31
-0.89003605,-0.029866371,0.83549786,-0.26546928,-0.66118175,0.12568931,0.49089146,-0.5448862,0.49071556,-0.18212308,-0.39755562,-0.06773484,-0.039549842,0.4221171,-0.05649408,-0.08040902,2017-02-01
-0.6837737,-0.579658,0.8485069,0.10830213,-0.41737556,-0.10884629,0.5731343,-0.5870345,-0.3745619,0.104995124,-0.2612759,-0.29543942,0.43331766,0.15365118,-0.23031019,0.73415244,2017-02-02
-0.74409765,-0.60190654,0.8446382,-0.006276638,-0.3937464,-0.195676,0.33087134,-0.49320054,-0.28864357,0.17153844,-0.19656539,0.041483507,0.41976237,-0.10734813,-0.068857215,0.73559016,2017-02-03
-0.736097,-0.16678885,0.49873167,-0.32960102,0.13017288,0.15334658,0.34781966,-0.56297904,0.12289841,0.40988854,-0.08223696,0.22135179,0.5246001,-0.46878448,-0.21057466,0.8042254,2017-02-04
-0.8050888,0.013283971,0.3487808,-0.46061483,0.071005724,0.33159125,0.24766184,-0.34177178,0.081285074,0.22879477,-0.09646433,-0.20683926,0.5019106,-0.35730538,-0.43865368,0.7515468,2017-02-05
-0.6107815,-0.6325739,0.77043307,0.31742573,0.020678187,0.11787318,0.31807995,0.0019560717,-0.36970398,0.047630582,-0.034957178,-0.28999054,0.3038189,-0.010079544,-0.22958167,0.5620137,2017-02-06
-0.715557,-0.55142707,0.8254396,0.27394128,0.1205516,0.3609346,0.21653338,0.06436231,-0.34771916,-0.19437174,0.3295738,-0.16382499,0.023010181,-0.21295983,-0.2615445,0.5621956,2017-02-07
-0.6317581,-0.5111677,0.75935906,0.32912555,0.12586494,0.22597823,0.29923373,0.029143505,-0.35445502,-0.18758051,0.2968087,-0.183837,-0.031887118,-0.34240356,-0.24478261,0.56410295,2017-02-08
