0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,date
-0.23628849,-0.49779037,0.30685738,-0.86523247,-0.74228656,0.79029274,0.60429245,0.36102334,-0.14319289,0.3374718,-0.028470498,-0.1500608,0.22823907,0.7696809,0.16786523,-0.4514245,2017-06-01
0.25474775,0.17273062,-0.519363,-0.8106298,-0.63339835,0.7986116,0.49032345,-0.12877169,-0.8115587,0.285573,0.5377555,-0.39957273,0.43786183,0.69580334,-0.25334656,-0.3603469,2017-06-02
0.37180787,-0.23877206,-0.25550395,-0.80474246,-0.3173498,0.44137606,-0.108096644,-0.53499687,-0.5309499,-0.28048217,0.17721522,-0.61277664,0.726328,0.40801635,-0.5355671,0.43846494,2017-06-03
0.42743203,-0.10988002,0.035827372,0.05691223,-0.2087259,0.64157766,-0.28804085,-0.4022452,-0.69829756,-0.5297774,0.7721041,-0.10445357,0.7197212,0.3209065,-0.7504199,0.8216262,2017-06-04
0.85048133,0.7332107,0.2090462,0.118751705,-0.5387059,0.6714345,0.025274351,0.26668435,-0.3118778,0.017942395,-0.07593512,0.21939582,0.8162824,-0.010863689,-0.5442132,-0.0628021,2017-06-05
0.73769957,0.39417028,0.23655222,-0.09716626,-0.49774545,0.7747235,0.004653733,0.6098429,-0.26308477,0.4183228,0.076067604,-0.2182799,0.55026346,0.032104414,-0.22984506,0.08070236,2017-06-06
0.8728028,0.5290156,-0.12077914,-0.20106551,-0.5974315,0.6827084,-0.31485164,0.24000993,-0.19034879,0.5517897,0.0005509741,0.040163737,0.42297253,-0.16429862,-0.47675702,-0.42607585,2017-06-07
0.8652889,0.6663091,-0.21645758,-0.092157364,-0.37406474,0.68414044,-0.21010192,0.04260804,-0.64248425,0.03215776,0.031635884,-0.31901798,0.7425366,-0.15445855,-0.4197123,0.18704495,2017-06-08
0.54729223,0.27531382,-0.37523484,-0.49997056,-0.5935004,0.77373034,0.52127725,0.13878006,-0.71994376,-0.29335207,0.26391244,-0.5894297,0.7572819,0.14617863,-0.21293876,0.23976637,2017-06-09
0.59896314,-0.42249632,-0.48763952,-0.8208771,-0.5844868,0.21354116,-0.22642125,-0.45943853,0.19626641,0.14486444,0.17714179,-0.57623154,0.5568144,-0.109220855,-0.7486185,-0.083298534,2017-06-10
0.7340069,-0.058521666,-0.29889533,-0.26924592,-0.32037407,0.19789706,-0.80398184,-0.7512065,-0.1511926,0.35289833,0.63843143,0.45887372,0.08641523,0.11301895,-0.8769269,-0.104798056,2017-06-11
0.7673904,0.6870101,-0.030397864,-0.2546733,-0.38826218,0.7093423,-0.43653926,-0.43415487,-0.77204716,0.3082817,0.17541735,0.527902,0.39573392,0.5696914,-0.41527972,-0.40209702,2017-06-12
0.7577066,0.4831068,0.14963551,-0.16639103,-0.14392926,0.7151656,-0.67145795,-0.22586587,-0.7204173,0.43844506,0.19392711,0.24170172,0.21737851,0.44515923,-0.29631367,0.054323655,2017-06-13
0.68704695,0.5359212,0.08922312,-0.345199,-0.21602853,0.7693709,-0.34579542,-0.0429963,-0.7891618,0.29792425,0.15251088,-0.07019315,0.48927712,0.5271812,-0.1666548,0.13486624,2017-06-14
0.7800442,0.38585952,-0.035528418,-0.47020066,-0.29385445,0.67310894,-0.60616213,-0.113332905,-0.55368054,0.6040296,-0.0022652482,-0.033032853,0.15534085,0.30148086,-0.25261787,-0.24261817,2017-06-15
0.24162868,-0.24774638,-0.09834658,-0.6343665,-0.46330988,0.8142963,0.16869006,0.04365559,-0.75319576,-0.07888469,0.15058175,-0.51270026,0.27827623,0.44316018,0.26600495,0.28522462,2017-06-16
0.21333194,-0.85964835,-0.11802148,-0.8032275,-0.56554955,0.36392397,-0.5778262,-0.31263182,0.4674647,0.53003985,0.23930939,-0.29038736,-0.46904314,0.057439532,-0.44731137,-0.16473533,2017-06-17
0.6525996,-0.66730833,0.16296108,-0.14370243,-0.43603694,0.256845,-0.86613786,-0.56106764,0.46580747,0.3775343,0.40891925,0.5192937,-0.3933165,-0.19617005,-0.7607389,0.026556896,2017-06-18
0.6412029,-0.56127286,0.29484645,0.16326591,-0.63288116,0.74310297,-0.55939573,0.5504262,0.41409436,0.67401797,0.4997313,0.24625006,-0.48394287,-0.30376324,-0.41178948,-0.027484113,2017-06-19
0.87619245,0.1214711,0.49146855,0.22071514,-0.42108715,0.55506796,-0.72381866,0.26986378,0.36391857,0.37768143,-0.35802865,0.28182092,0.25614387,-0.44693154,-0.37872517,0.05819027,2017-06-20
0.6363455,-0.50575584,0.74533206,0.1392475,-0.23768558,0.6617638,-0.6430468,0.46606392,0.27820516,-0.056340646,-0.46806085,-0.14091878,0.21692024,-0.30949625,0.17395514,0.6952217,2017-06-21
0.8332109,-0.0978694,0.11242431,-0.14377551,-0.4990335,0.6643257,-0.7022841,0.0138804475,-0.0480629,0.43474397,0.10432761,0.047443863,0.101883635,-0.24059483,-0.48660797,0.058930237,2017-06-22
0.12006803,-0.88207495,0.36163,-0.5121311,-0.5139479,0.73686105,-0.43549597,0.340963,0.19195507,0.25054604,-0.0047771307,-0.4388493,-0.52013946,-0.09148916,0.33871734,0.4270296,2017-06-23
0.36548194,-0.8487505,0.29490393,-0.7143465,-0.20671564,0.09257191,-0.81466335,-0.5201224,0.52625746,0.1440668,-0.29748762,-0.31486884,-0.19336657,-0.11576179,-0.34496763,0.38846284,2017-06-24
0.5530599,-0.620633,0.70225024,0.2801907,-0.013564768,0.24797267,-0.8045995,-0.41106308,0.29138023,-0.61932564,-0.054121193,0.1697455,0.53150916,-0.25479668,-0.5815521,0.8764914,2017-06-25
0.44394732,-0.6502608,0.7627079,-0.12375914,-0.5407654,0.7577968,-0.5826542,0.23428841,0.22219993,0.07656312,-0.14819175,0.41556364,-0.04096808,0.23521058,-0.056008194,0.37321272,2017-06-26
0.8197104,-0.057657808,0.49455485,0.26750344,-0.28389078,0.6585971,-0.7626509,-0.020915221,-0.15657288,-0.026579436,-0.041516896,0.19771802,0.35033625,-0.23987071,-0.39411616,0.5661419,2017-06-27
0.6002137,-0.34758452,0.36504087,-0.35946956,-0.5935526,0.79545903,-0.37621233,0.2223884,-0.20742701,0.24931647,-0.0446212,0.02551343,0.069202475,0.16006166,-0.032265026,0.08784987,2017-06-28
