start_id,end_id,date,amount
0.0,0.0,2017-05-20,20719.0
0.0,0.0,2017-05-21,17688.0
0.0,0.0,2017-05-22,23758.0
0.0,0.0,2017-05-23,24323.0
0.0,0.0,2017-05-24,25057.0
0.0,0.0,2017-05-25,25244.0
0.0,0.0,2017-05-26,25320.0
0.0,0.0,2017-05-27,14969.0
0.0,0.0,2017-05-28,14848.0
0.0,0.0,2017-05-29,14224.0
0.0,0.0,2017-05-30,13446.0
0.0,0.0,2017-05-31,24665.0
0.0,0.0,2017-06-01,25313.0
0.0,0.0,2017-06-02,24976.0
0.0,0.0,2017-06-03,21931.0
0.0,0.0,2017-06-04,14962.0
0.0,0.0,2017-06-05,24093.0
0.0,0.0,2017-06-06,24471.0
0.0,0.0,2017-06-07,24876.0
0.0,0.0,2017-06-08,24172.0
0.0,0.0,2017-06-09,25704.0
0.0,0.0,2017-06-10,17550.0
0.0,0.0,2017-06-11,15503.0
0.0,0.0,2017-06-12,23804.0
0.0,0.0,2017-06-13,24005.0
0.0,0.0,2017-06-14,24424.0
0.0,0.0,2017-06-15,25143.0
0.0,0.0,2017-06-16,25865.0
0.0,0.0,2017-06-17,15595.0
0.0,0.0,2017-06-18,14496.0
0.0,0.0,2017-06-19,24373.0
0.0,0.0,2017-06-20,24186.0
0.0,0.0,2017-06-21,24769.0
0.0,0.0,2017-06-22,24238.0
0.0,0.0,2017-06-23,25523.0
0.0,0.0,2017-06-24,17213.0
0.0,0.0,2017-06-25,15168.0
0.0,0.0,2017-06-26,22821.0
0.0,0.0,2017-06-27,23243.0
0.0,0.0,2017-06-28,23887.0
0.0,0.0,2017-06-29,23483.0
0.0,0.0,2017-06-30,26310.0
0.0,0.0,2017-07-01,16053.0
0.0,0.0,2017-07-02,14717.0
0.0,0.0,2017-07-03,21738.0
0.0,0.0,2017-07-04,22259.0
0.0,0.0,2017-07-05,23464.0
0.0,0.0,2017-07-06,23331.0
0.0,0.0,2017-07-07,24117.0
0.0,0.0,2017-07-08,16930.0
0.0,0.0,2017-07-09,14892.0
0.0,0.0,2017-07-10,22499.0
0.0,0.0,2017-07-11,22572.0
0.0,0.0,2017-07-12,23140.0
0.0,0.0,2017-07-13,24031.0
0.0,0.0,2017-07-14,23587.0
0.0,0.0,2017-07-15,18721.0
0.0,0.0,2017-07-16,15310.0
0.0,0.0,2017-07-17,22644.0
0.0,0.0,2017-07-18,23402.0
0.0,0.0,2017-07-19,23374.0
0.0,0.0,2017-07-20,23418.0
0.0,0.0,2017-07-21,23810.0
0.0,0.0,2017-07-22,16620.0
0.0,0.0,2017-07-23,14483.0
0.0,0.0,2017-07-24,22103.0
0.0,0.0,2017-07-25,23105.0
0.0,0.0,2017-07-26,23035.0
0.0,0.0,2017-07-27,23715.0
0.0,0.0,2017-07-28,23501.0
0.0,0.0,2017-07-29,11000.0
0.0,0.0,2017-07-30,11023.0
0.0,0.0,2017-07-31,22488.0
0.0,0.0,2017-08-01,22889.0
0.0,0.0,2017-08-02,22790.0
0.0,0.0,2017-08-03,22878.0
0.0,0.0,2017-08-04,23815.0
