date,amount
2017-08-04,2218507.0
2017-08-05,1912423.0
2017-08-06,1626024.0
2017-08-07,2042440.0
2017-08-08,2039859.0
2017-08-09,2117413.0
2017-08-10,2155811.0
2017-08-11,2285172.0
2017-08-12,2006184.0
2017-08-13,1688909.0
2017-08-14,2050724.0
2017-08-15,2114355.0
2017-08-16,2100176.0
2017-08-17,2114068.0
2017-08-18,2242805.0
2017-08-19,1947925.0
2017-08-20,1693514.0
2017-08-21,2046170.0
2017-08-22,2069924.0
2017-08-23,2130195.0
2017-08-24,2137625.0
2017-08-25,2270092.0
2017-08-26,2058549.0
2017-08-27,1676223.0
2017-08-28,2114443.0
2017-08-29,2056158.0
2017-08-30,2065918.0
2017-08-31,2060090.0
2017-09-01,2176595.0
2017-09-02,1750519.0
2017-09-03,1450522.0
2017-09-04,2000504.0
2017-09-05,1974435.0
2017-09-06,2082057.0
2017-09-07,2090316.0
2017-09-08,2223846.0
2017-09-09,1890974.0
2017-09-10,1607803.0
2017-09-11,2038934.0
2017-09-12,2080190.0
2017-09-13,1961897.0
2017-09-14,2000090.0
2017-09-15,2264586.0
2017-09-16,1955751.0
2017-09-17,1647140.0
2017-09-18,2034897.0
2017-09-19,2078692.0
2017-09-20,2117994.0
2017-09-21,2116962.0
2017-09-22,2308869.0
2017-09-23,1963260.0
2017-09-24,1629535.0
2017-09-25,2040449.0
2017-09-26,2069368.0
2017-09-27,2113029.0
2017-09-28,2125715.0
2017-09-29,2261488.0
2017-09-30,2156872.0
2017-10-01,1658578.0
2017-10-02,2075364.0
2017-10-03,2215663.0
2017-10-04,1401562.0
2017-10-05,2127944.0
2017-10-06,2306852.0
2017-10-07,1827524.0
2017-10-08,1691059.0
2017-10-09,1688369.0
2017-10-10,1522401.0
2017-10-11,2051121.0
2017-10-12,2073282.0
2017-10-13,2243423.0
2017-10-14,1703401.0
2017-10-15,1508694.0
2017-10-16,2075537.0
2017-10-17,2116464.0
2017-10-18,2144226.0
2017-10-19,2172063.0
2017-10-20,2356359.0
2017-10-21,2068226.0
2017-10-22,1785042.0
2017-10-23,2074996.0
2017-10-24,2111185.0
2017-10-25,2145367.0
2017-10-26,2162298.0
2017-10-27,2376917.0
2017-10-28,2101552.0
2017-10-29,1769441.0
2017-10-30,2097111.0
2017-10-31,2101501.0
2017-11-01,2105486.0
2017-11-02,2106264.0
2017-11-03,2328514.0
2017-11-04,1978109.0
2017-11-05,1704858.0
2017-11-06,2072711.0
2017-11-07,2101238.0
2017-11-08,2137529.0
2017-11-09,2172539.0
2017-11-10,2376216.0
2017-11-11,2076404.0
2017-11-12,1765559.0
2017-11-13,2104741.0
2017-11-14,2125633.0
2017-11-15,2156293.0
2017-11-16,2184194.0
2017-11-17,2410237.0
2017-11-18,2059414.0
2017-11-19,1758552.0
2017-11-20,2153672.0
2017-11-21,2129187.0
2017-11-22,2149481.0
2017-11-23,2183164.0
2017-11-24,2395615.0
2017-11-25,1960549.0
2017-11-26,1701884.0
2017-11-27,2085581.0
2017-11-28,2146194.0
2017-11-29,2170914.0
2017-11-30,2173133.0
2017-12-01,2373228.0
2017-12-02,2104832.0
2017-12-03,1830090.0
2017-12-04,2095622.0
2017-12-05,2149946.0
2017-12-06,2196152.0
2017-12-07,2242648.0
2017-12-08,2480232.0
2017-12-09,2250016.0
2017-12-10,1990108.0
2017-12-11,2154264.0
2017-12-12,2206207.0
2017-12-13,2234195.0
2017-12-14,2262797.0
2017-12-15,2504886.0
2017-12-16,2281846.0
2017-12-17,1979509.0
2017-12-18,2205205.0
2017-12-19,2232123.0
2017-12-20,2283916.0
2017-12-21,2280225.0
2017-12-22,2496342.0
2017-12-23,2443486.0
2017-12-24,2033090.0
2017-12-25,2289712.0
2017-12-26,2238948.0
2017-12-27,2269483.0
2017-12-28,2290867.0
2017-12-29,2495729.0
2017-12-30,2136793.0
2017-12-31,2411552.0
2018-01-01,1892689.0
2018-01-02,2143920.0
2018-01-03,2170179.0
2018-01-04,2179256.0
2018-01-05,2388112.0
2018-01-06,1887214.0
2018-01-07,1493275.0
2018-01-08,2132115.0
2018-01-09,2156262.0
2018-01-10,2177632.0
2018-01-11,2182447.0
2018-01-12,2364811.0
2018-01-13,1930661.0
2018-01-14,1642983.0
2018-01-15,2093015.0
2018-01-16,2125305.0
2018-01-17,2141075.0
2018-01-18,2171228.0
2018-01-19,2436177.0
2018-01-20,1944338.0
2018-01-21,1663166.0
2018-01-22,2080574.0
2018-01-23,2134817.0
2018-01-24,2185452.0
2018-01-25,2203663.0
2018-01-26,2397134.0
2018-01-27,2105904.0
2018-01-28,1688931.0
2018-01-29,2150714.0
2018-01-30,2168182.0
2018-01-31,2191859.0
2018-02-01,2193056.0
2018-02-02,2337039.0
2018-02-03,1832740.0
2018-02-04,1566358.0
2018-02-05,2146219.0
2018-02-06,2222891.0
2018-02-07,2229789.0
2018-02-08,2296853.0
2018-02-09,2448571.0
2018-02-10,1983158.0
2018-02-11,1744779.0
2018-02-12,2228577.0
2018-02-13,2192695.0
2018-02-14,1986361.0
2018-02-15,828217.0
2018-02-16,1417686.0
2018-02-17,1455593.0
2018-02-18,1744535.0
2018-02-19,1766862.0
2018-02-20,1595586.0
2018-02-21,2050183.0
2018-02-22,2129778.0
2018-02-23,2314380.0
2018-02-24,2037183.0
2018-02-25,1677109.0
2018-02-26,2183458.0
2018-02-27,2347481.0
2018-02-28,1689125.0
2018-03-01,2208392.0
2018-03-02,2370392.0
2018-03-03,2189937.0
2018-03-04,1761625.0
2018-03-05,2126205.0
2018-03-06,2172158.0
2018-03-07,2208949.0
2018-03-08,2235146.0
2018-03-09,2421058.0
2018-03-10,2162086.0
2018-03-11,1851377.0
2018-03-12,2151276.0
2018-03-13,2192620.0
2018-03-14,2226631.0
2018-03-15,2243023.0
2018-03-16,2451701.0
2018-03-17,2129137.0
2018-03-18,1869209.0
2018-03-19,2160088.0
2018-03-20,2168999.0
2018-03-21,2208595.0
2018-03-22,2221631.0
2018-03-23,2416723.0
2018-03-24,2109650.0
2018-03-25,1746307.0
2018-03-26,2135526.0
2018-03-27,2182642.0
2018-03-28,2205127.0
2018-03-29,2223897.0
2018-03-30,2318964.0
2018-03-31,2232624.0
2018-04-01,1695484.0
2018-04-02,2070107.0
2018-04-03,2188299.0
2018-04-04,1696141.0
2018-04-05,1520974.0
2018-04-06,1692734.0
2018-04-07,1742112.0
2018-04-08,1643673.0
2018-04-09,2055139.0
2018-04-10,2109343.0
2018-04-11,2144625.0
2018-04-12,2145791.0
2018-04-13,2348241.0
2018-04-14,1986881.0
2018-04-15,1652114.0
2018-04-16,2103720.0
2018-04-17,2173083.0
2018-04-18,2176531.0
2018-04-19,2184243.0
2018-04-20,2369960.0
2018-04-21,2082936.0
2018-04-22,1759747.0
2018-04-23,2092302.0
2018-04-24,2121136.0
2018-04-25,2216644.0
2018-04-26,2233684.0
2018-04-27,2396756.0
2018-04-28,2070878.0
2018-04-29,1767055.0
2018-04-30,2172282.0
2018-05-01,1828508.0
2018-05-02,2148788.0
2018-05-03,2172154.0
