date,start_id,end_id,amount
2017-11-25,4357792,4339379,719383
2017-11-26,4298309,4271415,701331
2017-11-27,4031652,4010129,700177
2017-11-28,4080751,4039291,733673
2017-11-29,4168644,4136628,761047
2017-11-30,4246330,4205767,835578
2017-12-01,4424035,4391474,911695
2017-12-02,4719073,4700320,976444
2017-12-03,4472128,4444479,832676
2017-12-04,4142005,4104860,744178
2017-12-05,4196571,4143284,834843
2017-12-06,4246307,4205380,840681
2017-12-07,4349067,4295205,881971
2017-12-08,4519194,4484701,959496
2017-12-09,4665288,4636446,1063505
2017-12-10,4433804,4387437,850835
2017-12-11,4178942,4131299,779542
2017-12-12,4186131,4151824,817703
2017-12-13,4312231,4256537,910611
2017-12-14,4411322,4343023,929067
2017-12-15,4573156,4536242,1006540
2017-12-16,4713971,4674651,1039047
2017-12-17,4527533,4498712,880746
2017-12-18,4181562,4142101,764999
2017-12-19,4250964,4203272,795896
2017-12-20,4292790,4240680,849271
2017-12-21,4379454,4322807,863561
2017-12-22,4511220,4466654,840234
2017-12-23,4501671,4473450,767871
2017-12-24,4551211,4524525,653998
2017-12-25,4327518,4307063,503031
2017-12-26,4045018,4026344,596174
2017-12-27,4167630,4137300,686011
2017-12-28,4281703,4255610,775071
2017-12-29,4470024,4442331,821125
2017-12-30,4480703,4448049,779361
2017-12-31,4682174,4665160,877745
2018-01-01,4752866,4706673,821037
2018-01-02,4021790,3991959,675436
2018-01-03,4157343,4132895,732992
2018-01-04,3503914,3467226,416989
2018-01-05,4289714,4260185,847368
2018-01-06,4562059,4534115,947976
2018-01-07,4424477,4400482,800356
2018-01-08,4150056,4119086,735986
2018-01-09,4179619,4155660,751040
2018-01-10,4229351,4186504,761771
2018-01-11,4284927,4244109,794593
2018-01-12,4489508,4451597,908785
2018-01-13,4664748,4639146,968918
2018-01-14,4568573,4532286,899453
2018-01-15,4127170,4090753,712213
2018-01-16,4144318,4107040,772683
2018-01-17,4164707,4127189,812279
2018-01-18,4293363,4254364,859996
2018-01-19,4460432,4413004,907012
2018-01-20,4645953,4611520,903211
2018-01-21,4476782,4443120,770678
2018-01-22,4149864,4104632,705525
2018-01-23,4122957,4094925,760502
2018-01-24,4224441,4187941,810717
2018-01-25,4313509,4270413,874589
2018-01-26,4497751,4454612,946891
2018-01-27,4715581,4693426,950550
2018-01-28,4535144,4495568,807639
